feature,segment,rows,validation_rows,test_rows,approved_count,approval_rate,prior_declined_rows,prior_declined_approved,prior_declined_approval_rate,labeled_rows,observed_default_rate,approved_labeled_rows,approved_observed_default_rate,mean_predicted_pd,mean_pd_approved,mean_pd_interval_width,mean_approval_support,expected_npv_total_approved,expected_npv_margin_approved,labeled_validation_realized_npv_approved,mean_break_even_pd_approved,mean_pd_headroom_approved
approval_support_quintile,"(0.511, 0.616]",2661,883,1778,2187,0.8218714768883878,1120,763,0.68125,516,0.19767441860465115,472,0.1694915254237288,0.22718510873529704,0.186918880001513,0.15876761643917195,0.5631581218126371,3152114.6083631264,0.051124395195395585,784459.2859297356,0.5279997463804308,0.3402489023418322
approval_support_quintile,"(0.616, 0.733]",2661,884,1777,2553,0.9594137542277339,877,793,0.9042189281641961,599,0.14524207011686144,586,0.13822525597269625,0.14012665977490135,0.13026130292370158,0.15515331806734062,0.6715386184521951,4557965.14556432,0.06901532377690159,984648.3677888038,0.6794043174195467,0.5443392934955137
approval_support_quintile,"(0.733, 0.959]",2661,919,1742,2659,0.9992484028560692,477,475,0.9958071278825996,758,0.08047493403693931,758,0.08047493403693931,0.07778322604718138,0.07763544338474804,0.14452716823247308,0.8186713308173059,5465520.796180524,0.08796826103369419,1697632.3306736466,0.807585568495965,0.7134255743090367
support_tier,medium_support,6652,2217,4435,5200,0.7817197835237523,2854,1787,0.6261387526278906,1284,0.20794392523364486,1149,0.17580504786771106,0.23097409886096168,0.17565541095030643,0.1580679148078663,0.5637692403264069,7735344.588766211,0.05400584673384082,1715284.3372320083,0.5518633329879737,0.3736685039239537
support_tier,high_support,3327,1134,2193,3323,0.9987977156597535,661,657,0.9939485627836612,913,0.0887185104052574,913,0.0887185104052574,0.08533812720157556,0.08506931470162822,0.14629046482333136,0.7983519843739648,6716632.865239575,0.08525344870969592,1988098.6004420638,0.7839701361905376,0.6806959232857588
support_tier,low_support,3327,1138,2189,510,0.1532912533814247,2276,147,0.06458699472759227,354,0.5028248587570622,134,0.30597014925373134,0.5314386660696896,0.2584600484545116,0.15606213434089874,0.32941687458558183,369941.8936833823,0.02221717096805477,209097.20496510086,0.3644851528629744,0.10602510440846279
npv_margin_quintile,"(-0.716, -0.0494]",2662,874,1788,0,0.0,1798,0,0.0,281,0.6192170818505338,0,,0.6388835001353387,,0.15499971354139572,0.3431582088720897,0.0,,0.0,,
npv_margin_quintile,"(-0.0494, 0.0299]",2661,938,1723,1051,0.3949642991356633,1401,0,0.0,443,0.28442437923250563,369,0.26558265582655827,0.33765783595316035,0.3225010717430256,0.16000000000000006,0.46922932921848304,154695.60972943573,0.005050565757675107,226076.5371746187,0.3472134933728205,0.024712421629794843
npv_margin_quintile,"(0.0299, 0.0639]",2661,864,1797,2660,0.9996242014280345,1174,1173,0.9991482112436116,498,0.178714859437751,498,0.178714859437751,0.19388837130289102,0.19385552858533572,0.15998842495793175,0.5577134969652677,3694470.935703786,0.04872345974296829,900931.9033494658,0.4493667354617392,0.2555112068764034
npv_margin_quintile,"(0.0639, 0.0821]",2661,913,1748,2661,1.0,921,921,1.0,597,0.1407035175879397,597,0.1407035175879397,0.1075242943196339,0.1075242943196339,0.1549774509967269,0.6567935030197303,5254194.698313591,0.07389828439438582,1185815.7254257281,0.696829753571291,0.5893054592516569
npv_margin_quintile,"(0.0821, 0.134]",2661,900,1761,2661,1.0,497,497,1.0,732,0.07240437158469945,732,0.07240437158469945,0.07034258353380166,0.07034258353380166,0.14314221471581282,0.7923226066823389,5718558.103942355,0.09165820667828896,1599655.97668936,0.9944172072154662,0.9178316293905606
owner_personal_credit_band,4,2823,980,1843,2603,0.9220687212185618,668,524,0.7844311377245509,758,0.1345646437994723,731,0.11764705882352941,0.14292326653836712,0.11255241867747985,0.1497738169584818,0.7681564166352401,5199865.480596902,0.07796689412037862,1437217.4899479523,0.7083456076055274,0.5657712166783168
owner_personal_credit_band,3,2716,870,1846,2218,0.8166421207658321,917,570,0.6215921483097055,572,0.18181818181818182,515,0.14563106796116504,0.20591439510945833,0.14186056528684302,0.1542394244093074,0.6395763417558279,3752960.729565869,0.06565096328315914,853197.2253991002,0.6206612884762731,0.4610988432877196
owner_personal_credit_band,1,2661,863,1798,1569,0.5896279594137542,1388,574,0.41354466858789624,418,0.24880382775119617,344,0.1686046511627907,0.3180407108990074,0.1738710874718318,0.15689029474789548,0.4739891847137933,2164418.015217555,0.053118111279743405,704230.243219905,0.5281287197083203,0.3471965474657512
owner_personal_credit_band,2,2605,902,1703,1745,0.6698656429942419,1143,537,0.46981627296587924,512,0.201171875,425,0.12941176470588237,0.2803152764126887,0.16213131532097005,0.15599616531705443,0.5489773285743608,2609086.6877026795,0.05781351364957047,661006.4025249428,0.5744035262676436,0.40224652748587086
owner_personal_credit_band,0,2501,874,1627,898,0.3590563774490204,1675,386,0.23044776119402985,291,0.38831615120274915,181,0.27624309392265195,0.4195092329165152,0.18325671860223847,0.15666294273361475,0.36198077192320854,1095588.4346061614,0.04751649264831783,256828.78154727246,0.47621616973550174,0.2899991108446441
cash_balance_quintile,cash_q:missing,4881,1642,3239,3215,0.6586765007170662,2366,1017,0.42983939137785293,855,0.20701754385964913,752,0.16489361702127658,0.26761707305364046,0.162256022998308,0.157619713402807,0.5164595410527502,4995482.03917088,0.05810983917484437,1475528.3681226654,0.5691862457093697,0.3961302558041198
cash_balance_quintile,"(-11737.562, -2358.579]",1685,564,1121,300,0.17804154302670624,1030,74,0.07184466019417475,211,0.4976303317535545,80,0.325,0.5812807795003605,0.24855551016458985,0.15293729657244773,0.377641975838131,277977.72461673315,0.029399073483697434,-54333.93555498039,0.4166316439772831,0.1680761338126933
cash_balance_quintile,"(-2358.579, -669.589]",1685,585,1100,905,0.5370919881305638,830,278,0.3349397590361446,299,0.3177257525083612,216,0.19907407407407407,0.347087714205538,0.2193630832915088,0.1587915668757817,0.5089961767056991,1116019.0496380627,0.042739451329197334,239904.55743536647,0.521742468931303,0.3016069613188739
cash_balance_quintile,"(-669.589, 960.987]",1685,573,1112,1332,0.7905044510385757,690,418,0.6057971014492753,344,0.22674418604651161,314,0.20063694267515925,0.22113813855773146,0.1657289113991609,0.1574662129770971,0.5893626343648493,2065214.967704399,0.057003828287011296,439755.10340204806,0.5868986108290893,0.4193386858487705
cash_balance_quintile,"(2715.22, 14227.018]",1685,560,1125,1682,0.9982195845697329,345,343,0.9942028985507246,443,0.07223476297968397,443,0.07223476297968397,0.07580384211951277,0.07532755625300444,0.1426910431508338,0.7963780180145827,3437893.4127571057,0.08953484006914446,992226.1350465316,0.7609698410479693,0.6648699548421095
cash_balance_quintile,"(960.987, 2715.22]",1685,565,1120,1599,0.9489614243323442,530,461,0.869811320754717,399,0.09774436090225563,391,0.09207161125319693,0.12912107651406615,0.1161431378598602,0.1525370528880647,0.6839659787747768,2929332.1538019865,0.0716758045980252,819399.9141875419,0.6666826456757301,0.5410475051527188
payroll_quintile,payroll_q:missing,4881,1642,3239,3215,0.6586765007170662,2366,1017,0.42983939137785293,855,0.20701754385964913,752,0.16489361702127658,0.26761707305364046,0.162256022998308,0.157619713402807,0.5164595410527502,4995482.03917088,0.05810983917484437,1475528.3681226654,0.5691862457093697,0.3961302558041198
payroll_quintile,"(-0.001, 0.339]",1685,560,1125,687,0.4077151335311573,916,213,0.23253275109170304,254,0.35826771653543305,156,0.1794871794871795,0.44056498843346464,0.18223729399894897,0.15390086512090131,0.46244020660305923,782792.1433968854,0.049208521562710314,246778.13495717768,0.5104012848871747,0.3218007778936417
payroll_quintile,"(0.339, 0.458]",1685,602,1083,1006,0.5970326409495549,767,270,0.3520208604954368,336,0.2619047619047619,274,0.1897810218978102,0.3203221535153897,0.16605684671119897,0.15563262163614386,0.542187583620793,1377947.306895935,0.05686110908558435,387109.01164124056,0.5737280198157677,0.39648344634477384
payroll_quintile,"(0.458, 0.572]",1685,529,1156,1206,0.715727002967359,659,322,0.48861911987860396,336,0.19940476190476192,292,0.14383561643835616,0.2557704995186099,0.14707025909824453,0.15461488624348788,0.5917224371435041,1883584.2409826918,0.06336071661167376,416385.25575836777,0.599434477305404,0.43614984207611507
payroll_quintile,"(0.572, 0.702]",1685,540,1145,1353,0.8029673590504451,605,386,0.6380165289256199,343,0.15160349854227406,307,0.10097719869706841,0.21053936684665467,0.13317760064701484,0.15308832290567892,0.6404456453513048,2430374.573599239,0.07069628367991906,516839.9595635308,0.6477148497458415,0.4898229574484415
payroll_quintile,"(0.702, 1.0]",1685,616,1069,1566,0.9293768545994066,478,383,0.801255230125523,427,0.11943793911007025,415,0.11325301204819277,0.12723454258309,0.09990341350619833,0.14718647655801306,0.719548910979378,3351739.043643536,0.08017982836435902,869839.4125961908,0.6878748572051709,0.560054444674513
utilization_delinquency_segment,util_q1|delin_q1,2218,749,1469,2218,1.0,402,402,1.0,622,0.06591639871382636,622,0.06591639871382636,0.06864213161905995,0.06864213161905995,0.14200900403697458,0.8117356775563935,4588121.171161236,0.09005639564967657,1359097.4835566813,0.8208278302805299,0.7425291622013632
utilization_delinquency_segment,util_q4|delin_q4,2146,715,1431,144,0.06710158434296365,1513,22,0.014540647719762063,205,0.5902439024390244,36,0.4444444444444444,0.599558767174365,0.29924277555532885,0.15465218489504995,0.3085502423944479,46260.12108737613,0.008713727215818657,39280.8511695294,0.3410378871293048,0.041795111573975946
utilization_delinquency_segment,util_q2|delin_q2,1348,434,914,1285,0.9532640949554896,505,451,0.8930693069306931,267,0.16104868913857678,264,0.1590909090909091,0.15301983607181,0.14350937913173267,0.15727568277066042,0.6342182356822544,2219163.6314185495,0.06413760944344485,500276.32665012294,0.6188742951792013,0.47454940165911585
utilization_delinquency_segment,util_q3|delin_q3,1339,438,901,850,0.6348020911127707,645,245,0.3798449612403101,229,0.2925764192139738,197,0.25380710659898476,0.3024988402625076,0.2426011186058397,0.1598707362079412,0.5053561400181571,876010.3246697512,0.03404951889446807,80379.38632840113,0.43287163548952134,0.19027051688368163
utilization_delinquency_segment,util_q3|delin_q4,896,304,592,274,0.30580357142857145,486,56,0.11522633744855967,140,0.32142857142857145,85,0.21176470588235294,0.4327557327041477,0.2637549343955292,0.15845730405239497,0.4378729391679689,187005.61435244218,0.019703452862929814,79000.88534786103,0.35184977116153365,0.08809483676600445
utilization_delinquency_segment,util_q2|delin_q3,874,301,573,748,0.8558352402745996,381,284,0.7454068241469817,175,0.2,162,0.17901234567901234,0.22376196599629203,0.19646826635381154,0.15930467673584667,0.5603525574795687,1148399.8724468222,0.05118904548981954,223323.90162633662,0.5468826515415396,0.35036745011495235
utilization_delinquency_segment,util_q4|delin_q3,873,310,563,254,0.290950744558992,520,61,0.11730769230769231,126,0.373015873015873,73,0.2328767123287671,0.4122401879771375,0.2769105803308775,0.15949211373496755,0.41758087869767974,162916.36085627507,0.020467212351556872,162606.04542079728,0.3820558926910942,0.1051453123602167
utilization_delinquency_segment,util_q3|delin_q2,864,290,574,752,0.8703703703703703,379,286,0.7546174142480211,166,0.21084337349397592,157,0.20382165605095542,0.2061716517906298,0.18147947853915414,0.15933536258783287,0.56304370163278,1043394.9071242544,0.05126693864382318,269678.17005160754,0.49862479856088215,0.3166488498620704
utilization_delinquency_segment,util_q2|delin_q1,850,290,560,849,0.9988235294117647,248,247,0.9959677419354839,208,0.11538461538461539,208,0.11538461538461539,0.10150174401020104,0.10122514896751365,0.15330760385017242,0.7029103281883018,1668023.1583855592,0.08163030715299287,469578.94265390973,0.8150723579284399,0.7063311101649736
utilization_delinquency_segment,util_q1|delin_q2,838,299,539,833,0.9940334128878282,244,240,0.9836065573770492,209,0.11004784688995216,208,0.11057692307692307,0.10437555724956163,0.1033632172029945,0.1527870050419492,0.6974060456768841,1646025.0310143414,0.07355507561846647,428015.84235940734,0.7039750685479312,0.5994219296840958
utilization_delinquency_segment,util_q4|delin_q2,276,95,181,191,0.6920289855072463,162,89,0.5493827160493827,40,0.225,34,0.14705882352941177,0.2529103416464598,0.20450032853015462,0.15963057297955235,0.48834824615982825,220354.0246344342,0.041751935751624364,48978.06900816263,0.4331735264160893,0.2286731978859347
utilization_delinquency_segment,util_q2|delin_q4,254,86,168,142,0.5590551181102362,116,45,0.3879310344827586,45,0.3333333333333333,32,0.1875,0.3396240377077786,0.22751173002596653,0.15931871690240154,0.5015912384024978,178902.72216852696,0.038317498532152494,61309.67406283681,0.4406289814360087,0.21311725141004217
utilization_delinquency_segment,util_q1|delin_q3,240,94,146,224,0.9333333333333333,83,71,0.8554216867469879,63,0.2222222222222222,62,0.22580645161290322,0.1768221424830869,0.16381218435076647,0.15838028817937985,0.6259405973041905,381107.4639350267,0.05850816182291929,61448.94192823245,0.5917857988749714,0.42785052686506986
utilization_delinquency_segment,util_q3|delin_q1,227,68,159,219,0.9647577092511013,82,76,0.926829268292683,45,0.13333333333333333,45,0.13333333333333333,0.13339744748363894,0.1261854024395353,0.15610780077451414,0.6417808839082504,375382.9357445865,0.07162281080324924,106654.53066383071,0.6694228191607169,0.537617855297259
utilization_delinquency_segment,util_q4|delin_q1,32,10,22,28,0.875,14,10,0.7142857142857143,6,0.0,6,0.0,0.18271825247541623,0.14920610663304731,0.1590374629080119,0.5628967882144408,43404.16139331555,0.06311394679761233,12043.968794834072,0.6151652303412782,0.4630156730064685
utilization_delinquency_segment,util_q1|delin_q4,31,6,25,22,0.7096774193548387,11,6,0.5454545454545454,5,0.2,5,0.2,0.27504787962237426,0.18178045650427452,0.15933760888293294,0.5481349428064405,37447.84729667019,0.050472695034472714,10807.123016622085,0.5178006611654372,0.3360202046611627
revenue_burden_quintile,"(0.00046999999999999993, 0.00708]",2662,891,1771,2532,0.9511645379413974,834,719,0.8621103117505995,616,0.10714285714285714,611,0.10474631751227496,0.11275903030264978,0.09935701183275317,0.14813246070602015,0.6783183970562472,5498499.173741675,0.07833871838623742,1391558.072240407,0.6769848142583129,0.556846066028206
revenue_burden_quintile,"(0.00708, 0.00941]",2661,912,1749,2234,0.8395340097707629,1027,685,0.6669912366114897,545,0.1688073394495413,512,0.150390625,0.18231084195916888,0.13553286987063437,0.1543983525809152,0.6124646243387648,3935627.4005928584,0.06789543356273058,1095058.282492808,0.6208924319543324,0.4671773724610106
revenue_burden_quintile,"(0.00941, 0.012]",2661,951,1710,1896,0.7125140924464487,1166,561,0.4811320754716981,545,0.2,491,0.164969450101833,0.24666598318525967,0.1593367897023272,0.1567110407612234,0.5600226944531501,2822020.7273212536,0.05994355951241784,790156.4860390855,0.583012169040817,0.41161173999622946
revenue_burden_quintile,"(0.012, 0.0155]",2661,851,1810,1579,0.5933859451334085,1250,442,0.3536,467,0.23554603854389722,383,0.1566579634464752,0.3139892456707739,0.1863025696305449,0.15833692634073623,0.5210014206047363,1900344.9981385302,0.05117135937946446,459196.3240238613,0.5368699108374678,0.34319510307595563
revenue_burden_quintile,"(0.0155, 0.0617]",2661,884,1777,792,0.2976324689966178,1514,184,0.1215323645970938,378,0.3941798941798942,199,0.21105527638190955,0.4927692009514125,0.22384014953678524,0.1555316045267811,0.44728405558491185,665427.047894851,0.03910829727675246,176510.97784301054,0.48624959775007537,0.2590968653417461
sector,0,3953,1295,2658,2528,0.6395142929420693,1775,709,0.39943661971830985,718,0.20334261838440112,599,0.12353923205342238,0.29247219260323937,0.15537919244390905,0.1552177513697812,0.5436063916524261,4123096.5220050626,0.06165252233826046,967244.8119627286,0.5886168802577353,0.4157031994937857
sector,1,3353,1160,2193,2195,0.6546376379361766,1509,631,0.4181577203445991,625,0.2432,528,0.16856060606060605,0.2845368093157674,0.1515238008938379,0.1550457962251246,0.5494598668579393,3575631.2285542274,0.06226247023461783,848787.8604110301,0.5885386065005438,0.4186856618994463
sector,2,2676,921,1755,1740,0.6502242152466368,1221,534,0.43734643734643736,511,0.2172211350293542,432,0.16203703703703703,0.2895074053095553,0.158627668692534,0.15566640737686083,0.5482897933141172,2784392.767606275,0.06103499246274472,768075.9711407924,0.5845604513702535,0.4080638271289901
sector,3,1955,688,1267,1637,0.8373401534526854,676,444,0.6568047337278107,460,0.14347826086956522,427,0.11943793911007025,0.17517701886265993,0.1175600475952601,0.15132285768717632,0.6479378377218552,2809419.406235919,0.07209845695622977,853658.5921322163,0.63711707943968,0.4973674647063666
sector,4,1369,425,944,933,0.6815193571950329,610,273,0.44754098360655736,237,0.21518987341772153,210,0.19047619047619047,0.26374631800976833,0.1436836136208775,0.15452961862295336,0.5676574294946344,1529379.4232876846,0.06292455596288021,474712.90699240525,0.5675264718159395,0.4072839668507275
prior_decision,1,7515,2551,4964,6442,0.8572188955422488,0,0,0.0,2551,0.2061936495491964,2196,0.14754098360655737,0.21171416808786786,0.15015976614865914,0.15346378591159163,0.6238034139834776,10279917.302999655,0.06314042888537227,3912480.1426391727,0.5951627284473537,0.41989689815577136
prior_decision,0,5791,1938,3853,2591,0.44741840787428766,5791,2591,0.44741840787428766,0,,0,,0.3449186882500932,0.1391659131135634,0.15612407452870125,0.485995048234128,4542002.044689512,0.0651129785381828,0.0,0.5897683188780025,0.44300756676576447
has_linked_bank_feed,True,8425,2847,5578,5818,0.6905637982195846,3425,1574,0.45956204379562043,1696,0.20577830188679244,1444,0.13850415512465375,0.2708863101794418,0.13857940537424282,0.15288463449284503,0.5912689567396078,9826437.308518287,0.06679876887674031,2436951.7745165075,0.6092253132748976,0.44755507667873434
has_linked_bank_feed,False,4881,1642,3239,3215,0.6586765007170662,2366,1017,0.42983939137785293,855,0.20701754385964913,752,0.16489361702127658,0.26761707305364046,0.162256022998308,0.157619713402807,0.5164595410527502,4995482.03917088,0.05810983917484437,1475528.3681226654,0.5691862457093697,0.3961302558041198
employee_count_bucket,0,5224,1772,3452,3088,0.5911179173047473,2508,892,0.35566188197767146,940,0.2478723404255319,760,0.16052631578947368,0.3158554851270321,0.15888581579809782,0.1555071557626335,0.5282022414916092,4405284.967044283,0.05936394715752731,1306203.879696814,0.56865331502236,0.39370548682895606
employee_count_bucket,1,4022,1331,2691,2749,0.6834908005967181,1730,784,0.4531791907514451,767,0.19426336375488917,671,0.14605067064083457,0.26861274122650086,0.151906508362116,0.15507620075224296,0.5664184490687496,4388081.372440966,0.06265990144841675,1129648.4040788542,0.5876474101754324,0.41564828480364635
employee_count_bucket,2,2747,924,1823,2097,0.7633782307972333,1077,605,0.5617455896007428,560,0.18035714285714285,491,0.1384928716904277,0.22805584054087372,0.13995781169487667,0.15448483788102196,0.597438430743028,3792784.5816500913,0.06723564759496044,914565.824899846,0.6190367538528119,0.45866881386450614
employee_count_bucket,3,1313,462,851,1099,0.837014470677837,476,310,0.6512605042016807,284,0.15140845070422534,274,0.13138686131386862,0.17638781672066586,0.11481908335829435,0.14999174099972165,0.6273062448224632,2235768.4265538277,0.07179006311303522,562062.0339636585,0.6375776297705391,0.5039349383420826
geography_region,3,3407,1124,2283,2315,0.6794834164954505,1529,704,0.460431654676259,625,0.1952,541,0.13493530499075784,0.26502081591912935,0.14293331752352584,0.1541790517652582,0.5659195871117139,3862131.064607778,0.06463401469351797,1040988.729497459,0.6024884810379222,0.4394489235180468
geography_region,0,3316,1093,2223,2249,0.678226779252111,1453,647,0.4452856159669649,634,0.18454258675078863,543,0.1252302025782689,0.26742516596673555,0.14620929520359502,0.15487126659036324,0.5649584102147344,3730665.855465793,0.06381509230980056,925351.2845086115,0.592946559218596,0.4295319667646559
geography_region,1,3304,1153,2151,2276,0.6888619854721549,1377,626,0.45461147421931736,673,0.2213967310549777,575,0.16869565217391305,0.2695130461636544,0.14967894716651894,0.15475844259671068,0.5640875690201351,3663561.2995561585,0.06295561201806522,993064.1834335444,0.5860581257037655,0.41588674825388344
geography_region,2,3279,1119,2160,2193,0.6688014638609332,1432,614,0.42877094972067037,619,0.22294022617124395,537,0.1601489757914339,0.2769982379169667,0.14934951011220257,0.154691010370207,0.5602453585866042,3565561.1280594375,0.0633942137248736,953075.945199558,0.5921664724900554,0.4240683406404894
intended_use_of_funds,0,4640,1576,3064,3176,0.6844827586206896,2000,905,0.4525,899,0.22580645161290322,775,0.15870967741935485,0.26828218504437873,0.146749952461732,0.15446172841002026,0.5666756297955695,5280795.261896688,0.06420002660637955,1060227.8282142715,0.5995216856575579,0.4324600799298969
intended_use_of_funds,1,3936,1322,2614,2641,0.6709857723577236,1710,748,0.43742690058479533,741,0.1794871794871795,632,0.13291139240506328,0.27355423938495527,0.14824511743858787,0.1546203484796007,0.5594816089511726,4273152.561989311,0.06304832703557021,1268632.7814656019,0.588806772492068,0.4220601585340156
intended_use_of_funds,2,2682,885,1797,1838,0.6853094705443699,1173,534,0.45524296675191817,512,0.197265625,448,0.13839285714285715,0.2690035830512767,0.14882811251946704,0.15484675177336651,0.564937765186084,2987691.5617452175,0.06327142829631305,733431.8115326029,0.5931690408264038,0.42632448084059527
intended_use_of_funds,3,2048,706,1342,1378,0.6728515625,908,404,0.44493392070484583,399,0.22305764411027568,341,0.16129032258064516,0.26633284290429254,0.14279304747630847,0.15469129249362742,0.5642687300279956,2280279.962057951,0.06440897595106966,850187.7214266967,0.5889218790966512,0.42691099570458757
application_channel,0,6646,2248,4398,4572,0.6879325910321998,2836,1296,0.45698166431593795,1280,0.21171875,1111,0.15301530153015303,0.2670214341736531,0.14627767441584483,0.1544437557572431,0.5693547974972363,7534386.995419823,0.06415486093792924,1885460.6187388343,0.5976180836671715,0.43155109103980455
application_channel,1,4638,1599,3039,3161,0.6815437688658905,2007,891,0.4439461883408072,914,0.19912472647702406,784,0.14795918367346939,0.2654047280724888,0.14789766804325147,0.1549393083355119,0.568809303125057,5147352.4803293375,0.06362698961208946,1474165.2140435805,0.5950312176089984,0.42760241340251626
application_channel,2,2022,642,1380,1300,0.6429277942631059,948,404,0.42616033755274263,357,0.20448179271708683,301,0.12624584717607973,0.2882712742424901,0.14740156791764958,0.1544773263593364,0.5342287083823064,2140179.8719400084,0.062321101461517314,552854.3098567581,0.5756745676337287,0.41217156119798554
credit_stress_quintile,"(0.007410000000000001, 0.352]",2662,882,1780,2625,0.9861006761833208,577,551,0.9549393414211439,704,0.09517045454545454,702,0.09544159544159544,0.09082326610051178,0.08654761076824187,0.14605561589474916,0.7727302196287803,5323713.1241477225,0.08399362001089605,1316199.1734856758,0.7450467980083318,0.6376766490101451
credit_stress_quintile,"(0.352, 0.548]",2661,929,1732,2439,0.9165727170236753,949,784,0.8261327713382508,607,0.13344316309719934,587,0.12095400340715502,0.1593204384678586,0.13527912957642124,0.15490987761614264,0.647796954773182,4332689.19309983,0.06777435330295806,1176755.3473396054,0.645943009090387,0.5012969925032443
credit_stress_quintile,"(0.548, 0.73]",2661,889,1772,1940,0.7290492296129275,1161,619,0.533161068044789,497,0.23943661971830985,436,0.19954128440366972,0.251232227914068,0.1771511635978911,0.15801503555749188,0.5582484093331658,2832389.3195023313,0.054292310910249296,776235.838468842,0.5515197540499517,0.3678050282339317
credit_stress_quintile,"(0.73, 0.935]",2661,902,1759,1288,0.4840285606914694,1419,410,0.28893587033121915,414,0.3309178743961353,287,0.21951219512195122,0.3691487017879555,0.20353784811733952,0.1578629730640574,0.46555935883232463,1571261.349338152,0.04445401710203363,257438.11272518916,0.488550981065158,0.2801973051744093
credit_stress_quintile,"(0.935, 2.092]",2661,887,1774,741,0.27846674182638104,1685,227,0.13471810089020772,329,0.3708206686930091,184,0.1956521739130435,0.4779779112277329,0.22259758886415187,0.15626766325854932,0.37472076964225837,761866.3616011317,0.03655818197595139,385851.6706198606,0.4362203847182536,0.2115816284134384
cash_stress_quintile,"(-0.705, 0.0175]",2662,884,1778,2662,1.0,591,591,1.0,698,0.07020057306590258,698,0.07020057306590258,0.07752752095885135,0.07752752095885135,0.1446805328639757,0.7745125571541226,5439161.395931218,0.08642350349386124,1579734.6979831248,0.7659272508566837,0.6756399928638627
cash_stress_quintile,"(0.0175, 0.316]",2661,923,1738,2595,0.9751972942502819,852,790,0.9272300469483568,626,0.12619808306709265,625,0.1248,0.12593956408709978,0.12081045711216669,0.15469809040101176,0.675366733555044,4748005.059604319,0.07209427619114438,1185967.044997116,0.6864831122505819,0.5570140227178348
cash_stress_quintile,"(0.316, 0.624]",2661,875,1786,1932,0.7260428410372041,1313,683,0.5201827875095202,443,0.2234762979683973,402,0.2064676616915423,0.2521161493967079,0.21002611315811218,0.15967103911366032,0.5063005787106108,2438165.1223197626,0.042597173594642955,825462.4704293899,0.4493797217412777,0.2392306820217016
