feature,kind,comparison,psi,ks,std_mean_diff,train_missing,other_missing,total_variation
platform_active_months,numeric,train_vs_test,0.0010605862613334571,0.0124304216195682,0.019372771950758212,0.0,0.0,
observed_overdraft_count_3mo,numeric,train_vs_test,0.0009845156525083113,0.015015056554506634,0.03142651419822851,0.3568432153737989,0.36735851196552116,
sector,numeric,train_vs_validation,0.000978335204564281,0.012466186255462974,0.00699338364180079,0.0,0.0,
aggregate_credit_utilization,numeric,train_vs_test,0.000858814474539096,0.010331568335335772,-0.013214127458758822,0.0,0.0,
bookkeeping_recency_days,numeric,train_vs_validation,0.0007766695448863281,0.01035581182405465,-0.008083524217200566,0.0,0.0,
bookkeeping_recency_days,numeric,train_vs_test,0.0007693673093393557,0.005570539197678248,-0.0020058145526386383,0.0,0.0,
geography_region,numeric,train_vs_test,0.0004981159427209327,0.010279160363529494,0.008442226565287862,0.0,0.0,
repeat_application_count,numeric,train_vs_test,0.00048446113897184114,0.008858464958624523,0.032036386206729134,0.0,0.0,
employee_count_bucket,numeric,train_vs_test,0.00035942360411308615,0.008624225220155601,0.006885936315070923,0.0,0.0,
employee_count_bucket,numeric,train_vs_validation,0.00024769677137707414,0.00709080128844497,0.015459599973839177,0.0,0.0,
intended_use_of_funds,numeric,train_vs_test,0.00013022303242976138,0.005454329696671478,0.010948143809476538,0.0,0.0,
intended_use_of_funds,numeric,train_vs_validation,0.00011268217054536445,0.008351375596509336,0.010815092016868602,0.0,0.0,
prior_loans_count,numeric,train_vs_test,0.00011068185916065289,0.00491269116835702,-0.0026162606884032476,0.0,0.0,
geography_region,numeric,train_vs_validation,9.809933772563145e-05,0.0035278800148037803,0.004776188176891226,0.0,0.0,
multi_lender_inquiry_count_30d,numeric,train_vs_validation,9.258751783781215e-05,0.0046325671851662475,-0.016569865834343372,0.0,0.0,
recent_inquiries_count_6mo,numeric,train_vs_validation,4.474105999774515e-05,0.0025739088905343266,0.0005712492420059928,0.0,0.0,
sector,numeric,train_vs_test,4.436927565261046e-05,0.007487737472874678,0.006115933593854551,0.0,0.0,
application_channel,numeric,train_vs_validation,3.9312334224331824e-05,0.008061778804350661,-0.015493338866280904,0.0,0.0,
recent_inquiries_count_6mo,numeric,train_vs_test,8.125890077932878e-06,0.0012949263730061,0.0031673293590944594,0.0,0.0,
application_channel,numeric,train_vs_test,5.4234126139808535e-06,0.0054377809299998026,0.0058510828054345885,0.0,0.0,
multi_lender_inquiry_count_30d,numeric,train_vs_test,1.4518712612106976e-06,0.0011422954978715927,0.0052666233016559726,0.0,0.0,
prior_decision,numeric,train_vs_test,0.0,0.04306654919328218,-0.08747200322270118,0.0,0.0,
prior_decision,numeric,train_vs_validation,0.0,0.037791825373411025,-0.07681132322029066,0.0,0.0,
has_linked_bank_feed,numeric,train_vs_test,0.0,0.010515296591722234,-0.021879786063199933,0.0,0.0,
has_linked_bank_feed,numeric,train_vs_validation,0.0,0.008939809798845288,-0.01860953970625563,0.0,0.0,
prior_loans_default_count,numeric,train_vs_validation,0.0,0.004984399800715855,0.022654310417616258,0.0,0.0,
prior_loans_default_count,numeric,train_vs_test,0.0,0.001051349047431871,-0.0052915031645546385,0.0,0.0,
