feature,segment,kind,labeled_n,active_approved_n,active_approved_realized_npv,reject_segment_validation_delta,active_declined_prior_approved_n,active_declined_prior_approved_realized_npv,approve_segment_validation_delta,actual_default_rate,approved_default_rate,mean_predicted_pd,calibration_error_actual_minus_pred,mean_margin_all_validation,prior_declined_share_all,all_validation_n,test_n,test_active_approved_n,auc_in_segment
vintage_years,"vintage_years_q5[9.084,31.63]",num,654,565,738288.5580820156,-738288.5580820156,89,-213620.8056213879,-213620.8056213879,0.16972477064220184,0.13628318584070798,0.16654731916002755,0.0031774514821742983,0.04369050421452079,0.2717149220489978,898,1801,1379,0.6582217576692715
employee_count_bucket,employee_count_bucket==0,cat,940,652,826761.0278645713,-826761.0278645713,288,-1147460.525041613,-1147460.525041613,0.2478723404255319,0.13650306748466257,0.24797546264410242,-0.00010312221857050607,-0.02042448543531369,0.46952595936794583,1772,3452,1726,0.7633505533263321
employee_count_bucket,employee_count_bucket==1,cat,767,604,779194.4847209936,-779194.4847209936,163,-517207.1292309246,-517207.1292309246,0.19426336375488917,0.13079470198675497,0.2083282110960992,-0.014064847341210024,0.011675159491076708,0.4237415477084899,1331,2691,1597,0.7288286527225735
employee_count_bucket,employee_count_bucket==2,cat,560,457,623547.5033930425,-623547.5033930425,103,-332819.66824110074,-332819.66824110074,0.18035714285714285,0.12691466083150985,0.1874623042924454,-0.007105161435302543,0.0242258089729672,0.3939393939393939,924,1823,1303,0.6966500571625789
employee_count_bucket,employee_count_bucket==3,cat,284,262,422712.0971681741,-422712.0971681741,22,-99108.9471080037,-99108.9471080037,0.15140845070422534,0.1183206106870229,0.135662482725837,0.015745967978388342,0.04607016076989039,0.3852813852813853,462,851,659,0.7177940750747853
stated_annual_revenue,"stated_annual_revenue_q1[2.686e+05,1.705e+06]",num,496,337,344279.3084483838,-344279.3084483838,159,-514802.1853786987,-514802.1853786987,0.24798387096774194,0.13353115727002968,0.2726582443764775,-0.024674373408735573,-0.03402114633216205,0.44766146993318484,898,1817,854,0.7511497635083589
stated_annual_revenue,"stated_annual_revenue_q2[1.705e+06,2.325e+06]",num,526,398,510922.27751274896,-510922.27751274896,128,-482442.09521312156,-482442.09521312156,0.19011406844106463,0.11557788944723618,0.22092214665076573,-0.030808078209701106,-0.0016355323358091857,0.4142538975501114,898,1828,1030,0.7590845070422535
stated_annual_revenue,"stated_annual_revenue_q3[2.325e+06,3.031e+06]",num,492,377,590423.4527138779,-590423.4527138779,115,-537754.0504430588,-537754.0504430588,0.20934959349593496,0.11140583554376658,0.21127565403787066,-0.001926060541935698,0.007213011325135922,0.451505016722408,897,1735,1010,0.7626974817181222
stated_annual_revenue,"stated_annual_revenue_q4[3.031e+06,4.147e+06]",num,511,406,507472.0902334902,-507472.0902334902,105,-391906.5666593964,-391906.5666593964,0.22309197651663404,0.16748768472906403,0.1968871415187516,0.026204834997882426,0.01745149666305005,0.4309576837416481,898,1712,1110,0.6934796058155465
stated_annual_revenue,"stated_annual_revenue_q5[4.147e+06,1.716e+07]",num,526,457,699117.9842382806,-699117.9842382806,69,-169691.3719273666,-169691.3719273666,0.1634980988593156,0.12253829321663019,0.15283501681049705,0.01066308204881855,0.036631061402818035,0.4142538975501114,898,1723,1280,0.7476612050739957
stated_time_in_business,"stated_time_in_business_q1[0.08517,2.966]",num,430,302,365622.778173954,-365622.778173954,128,-651313.7059708713,-651313.7059708713,0.2651162790697674,0.16225165562913907,0.239882854730296,0.025233424339471427,-0.017763989681679682,0.5211581291759465,898,1753,881,0.7385909393737509
stated_time_in_business,"stated_time_in_business_q2[2.966,4.665]",num,438,328,400773.6729937751,-400773.6729937751,110,-383599.83153289196,-383599.83153289196,0.2374429223744292,0.13719512195121952,0.2297541193421516,0.007688803032277619,-0.014826780735129321,0.512249443207127,898,1709,898,0.7719656840165823
stated_time_in_business,"stated_time_in_business_q3[4.665,6.603]",num,504,380,510971.3504086218,-510971.3504086218,124,-415220.48011989356,-415220.48011989356,0.19642857142857142,0.12105263157894737,0.22251916836259109,-0.02609059693401966,0.0008309246409550295,0.43812709030100333,897,1835,1044,0.7633246040653447
stated_time_in_business,"stated_time_in_business_q4[6.603,9.478]",num,538,417,694603.9303081703,-694603.9303081703,121,-356178.3062308132,-356178.3062308132,0.17657992565055763,0.09832134292565947,0.20548868126597886,-0.028908755615421222,0.01651383825500525,0.40089086859688194,898,1725,1106,0.7635974812878698
stated_time_in_business,"stated_time_in_business_q5[9.478,31.78]",num,641,548,680243.3812622603,-680243.3812622603,93,-290283.94576717226,-290283.94576717226,0.17784711388455537,0.1386861313868613,0.17146209845918772,0.006385015425367652,0.04087779124311962,0.28619153674832964,898,1793,1354,0.6644612004394288
requested_amount,"requested_amount_q1[1.102e+04,2.338e+04]",num,667,623,830566.0666354836,-830566.0666354836,44,-62082.181489289505,-62082.181489289505,0.1184407796101949,0.09951845906902086,0.13421436184592822,-0.015773582235733316,0.06329248462498806,0.2572383073496659,898,1800,1559,0.6746641694652544
requested_amount,"requested_amount_q2[2.338e+04,2.688e+04]",num,566,490,802753.2870055046,-802753.2870055046,76,-126021.5633133881,-126021.5633133881,0.13780918727915195,0.1,0.1657448561705942,-0.02793566889144225,0.04172020450613185,0.36971046770601335,898,1801,1329,0.7056667717528373
requested_amount,"requested_amount_q3[2.688e+04,2.983e+04]",num,503,388,497202.5429435785,-497202.5429435785,115,-363709.64205541863,-363709.64205541863,0.24055666003976142,0.17010309278350516,0.20798392695704077,0.032572733082720656,0.014144919816799476,0.43924191750278707,897,1632,985,0.6917160659426247
requested_amount,"requested_amount_q4[2.983e+04,3.304e+04]",num,439,290,320310.13129830104,-320310.13129830104,149,-716121.558606297,-716121.558606297,0.2938496583143508,0.1793103448275862,0.26164902866236917,0.032200629651981616,-0.014370470644350734,0.5111358574610245,898,1783,861,0.7419229807451864
requested_amount,"requested_amount_q5[3.304e+04,4.346e+04]",num,376,184,201383.08526391376,-201383.08526391376,192,-828661.3241572487,-828661.3241572487,0.31648936170212766,0.15217391304347827,0.35526409975561035,-0.038774738053482694,-0.07914052830604625,0.5812917594654788,898,1794,549,0.7594905666546774
intended_use_of_funds,intended_use_of_funds==0,cat,899,694,733631.0903065375,-733631.0903065375,205,-863473.3858460442,-863473.3858460442,0.22580645161290322,0.14121037463976946,0.2112187458688121,0.014587705744091128,0.004511960471718994,0.42956852791878175,1576,3064,1846,0.746875176943548
intended_use_of_funds,intended_use_of_funds==1,cat,741,575,849837.1986742206,-849837.1986742206,166,-403637.92826495157,-403637.92826495157,0.1794871794871795,0.12,0.20752793663736188,-0.028040757150182394,0.0033322278913570664,0.4394856278366112,1322,2614,1550,0.7147309062129007
intended_use_of_funds,intended_use_of_funds==2,cat,512,398,579415.0418549317,-579415.0418549317,114,-432160.2162222427,-432160.2162222427,0.197265625,0.11557788944723618,0.20929579048869734,-0.012030165488697342,0.0060803572946364565,0.4214689265536723,885,1797,1091,0.7541615475416155
intended_use_of_funds,intended_use_of_funds==3,cat,399,308,489331.78231109155,-489331.78231109155,91,-397324.7392884037,-397324.7392884037,0.22305764411027568,0.14285714285714285,0.21445716786844923,0.008600476241826444,0.00866761993824626,0.4348441926345609,706,1342,798,0.751957230880754
has_linked_bank_feed,has_linked_bank_feed==True,cat,1696,1315,1722650.843100774,-1722650.843100774,381,-1636944.0208299356,-1636944.0208299356,0.20577830188679244,0.12091254752851711,0.20889482256692538,-0.0031165206801329337,0.005006680036476447,0.4042852125043906,2847,5578,3466,0.7611374528560761
has_linked_bank_feed,has_linked_bank_feed==False,cat,855,660,929564.2700460072,-929564.2700460072,195,-459652.24879170646,-459652.24879170646,0.20701754385964913,0.1484848484848485,0.2129895780357498,-0.005972034176100677,0.005336475514074214,0.47929354445797806,1642,3239,1819,0.6989233871639751
observed_monthly_revenue_avg_3mo,"observed_monthly_revenue_avg_3mo_q1[2.659e+04,1.436e+05]",num,304,182,183940.09081154145,-183940.09081154145,122,-646542.8067092528,-646542.8067092528,0.3026315789473684,0.12637362637362637,0.3114922073811965,-0.008860628433828066,-0.06786255005019756,0.4666666666666667,570,1170,458,0.8094493437243643
observed_monthly_revenue_avg_3mo,"observed_monthly_revenue_avg_3mo_q2[1.436e+05,1.947e+05]",num,329,224,333175.47685290757,-333175.47685290757,105,-422642.79428665794,-422642.79428665794,0.23100303951367782,0.10267857142857142,0.25770657891178506,-0.02670353939810724,-0.014438106877995927,0.421792618629174,569,1167,615,0.7687747035573123
observed_monthly_revenue_avg_3mo,"observed_monthly_revenue_avg_3mo_q3[1.947e+05,2.522e+05]",num,341,266,421210.1131162987,-421210.1131162987,75,-323518.58718007844,-323518.58718007844,0.18181818181818182,0.10150375939849623,0.20430374140643712,-0.022485559588255294,0.015045323802270125,0.4007029876977153,569,1047,658,0.7748583651289167
observed_monthly_revenue_avg_3mo,"observed_monthly_revenue_avg_3mo_q4[2.522e+05,3.482e+05]",num,345,293,370484.2328218926,-370484.2328218926,52,-239903.68118034277,-239903.68118034277,0.19420289855072465,0.14334470989761092,0.17415363195475664,0.020049266595968007,0.03638593634421699,0.3936731107205624,569,1128,817,0.7306453344786857
observed_monthly_revenue_avg_3mo,"observed_monthly_revenue_avg_3mo_q5[3.482e+05,1.944e+06]",num,377,350,413840.92949813383,-413840.92949813383,27,-4336.15147360365,-4336.15147360365,0.13793103448275862,0.12571428571428572,0.1195117897179265,0.018419244764832116,0.05594134628542028,0.3385964912280702,570,1066,918,0.702396449704142
observed_monthly_revenue_avg_3mo,observed_monthly_revenue_avg_3mo_MISSING,num,855,660,929564.2700460072,-929564.2700460072,195,-459652.24879170646,-459652.24879170646,0.20701754385964913,0.1484848484848485,0.2129895780357498,-0.005972034176100677,0.005336475514074214,0.47929354445797806,1642,3239,1819,0.6989233871639751
observed_revenue_trend_3mo,"observed_revenue_trend_3mo_q1[-1.934,-0.8065]",num,298,191,270669.561220358,-270669.561220358,107,-558032.01874607,-558032.01874607,0.29194630872483224,0.1518324607329843,0.2573098172075347,0.03463649151729753,-0.03245531745598947,0.47719298245614034,570,1167,578,0.769406765811407
observed_revenue_trend_3mo,"observed_revenue_trend_3mo_q2[-0.8065,-0.5572]",num,313,224,295978.7953700873,-295978.7953700873,89,-268226.9056039338,-268226.9056039338,0.2012779552715655,0.12053571428571429,0.23156053523126258,-0.030282579959697076,-0.006294438698328315,0.44991212653778556,569,1076,616,0.7133015873015873
observed_revenue_trend_3mo,"observed_revenue_trend_3mo_q3[-0.5572,-0.3416]",num,349,269,259460.03075749567,-259460.03075749567,80,-257593.4452108788,-257593.4452108788,0.21203438395415472,0.1449814126394052,0.21404866931307256,-0.0020142853589178444,0.0037037349102047616,0.3866432337434095,569,1164,729,0.7033169533169534
observed_revenue_trend_3mo,"observed_revenue_trend_3mo_q4[-0.3416,-0.07592]",num,374,312,404740.282849443,-404740.282849443,62,-440466.99279422144,-440466.99279422144,0.19786096256684493,0.10256410256410256,0.19622797733922312,0.0016329852276218138,0.018725902988489265,0.3427065026362039,569,1122,752,0.8168243243243243
observed_revenue_trend_3mo,"observed_revenue_trend_3mo_q5[-0.07592,1.076]",num,362,319,491802.17290339014,-491802.17290339014,43,-112624.6584748316,-112624.6584748316,0.1408839779005525,0.10031347962382445,0.15755965995343393,-0.016675682052881446,0.04135547485746378,0.3649122807017544,570,1045,788,0.7710421789294496
observed_revenue_trend_3mo,observed_revenue_trend_3mo_MISSING,num,855,660,929564.2700460072,-929564.2700460072,195,-459652.24879170646,-459652.24879170646,0.20701754385964913,0.1484848484848485,0.2129895780357498,-0.005972034176100677,0.005336475514074214,0.47929354445797806,1642,3239,1819,0.6989233871639751
observed_revenue_volatility,"observed_revenue_volatility_q1[0.1553,0.7039]",num,403,375,553476.3548299517,-553476.3548299517,28,6615.5271726007395,6615.5271726007395,0.10669975186104218,0.088,0.12688252518569176,-0.020182773324649586,0.061390032898450526,0.2929824561403509,570,1155,1012,0.7096899224806201
observed_revenue_volatility,"observed_revenue_volatility_q2[0.7039,0.9681]",num,354,306,403079.52390748897,-403079.52390748897,48,-237044.7352537612,-237044.7352537612,0.17796610169491525,0.12091503267973856,0.17925899122884162,-0.0012928895339263669,0.03448873961094807,0.37785588752196836,569,1113,824,0.7514863906616484
observed_revenue_volatility,"observed_revenue_volatility_q3[0.9681,1.262]",num,357,282,404026.3934835404,-404026.3934835404,75,-297006.27276392904,-297006.27276392904,0.18207282913165265,0.1099290780141844,0.2045509282067275,-0.022478099075074837,0.02321438956665297,0.37258347978910367,569,1115,713,0.7369072708113804
observed_revenue_volatility,"observed_revenue_volatility_q4[1.262,1.697]",num,318,206,257213.4029033641,-257213.4029033641,112,-462829.5345311827,-462829.5345311827,0.2672955974842767,0.1407766990291262,0.24838586371029656,0.01890973377398017,-0.01912996892287884,0.44112478031634444,569,1081,539,0.7371118404443322
observed_revenue_volatility,"observed_revenue_volatility_q5[1.697,8.004]",num,264,146,104855.16797642905,-104855.16797642905,118,-646679.0054536633,-646679.0054536633,0.3522727272727273,0.19863013698630136,0.332132168556764,0.02014055871596332,-0.07488847170737768,0.5368421052631579,570,1110,375,0.7608627303024587
observed_revenue_volatility,observed_revenue_volatility_MISSING,num,855,660,929564.2700460072,-929564.2700460072,195,-459652.24879170646,-459652.24879170646,0.20701754385964913,0.1484848484848485,0.2129895780357498,-0.005972034176100677,0.005336475514074214,0.47929354445797806,1642,3239,1819,0.6989233871639751
observed_cash_balance_p10,"observed_cash_balance_p10_q1[-1.174e+04,-2338]",num,213,47,25414.02689334003,-25414.02689334003,166,-1047028.3553806711,-1047028.3553806711,0.49295774647887325,0.23404255319148937,0.5003329385434225,-0.007375192064549285,-0.1521652181023802,0.6263157894736842,570,1132,117,0.7277777777777779
observed_cash_balance_p10,"observed_cash_balance_p10_q2[-2338,-706.3]",num,291,159,70652.65910227908,-70652.65910227908,132,-446272.0369913996,-446272.0369913996,0.3230240549828179,0.18867924528301888,0.3054561044709496,0.01756795051186827,-0.012226193158975841,0.48857644991212656,569,1059,421,0.70933686143212
observed_cash_balance_p10,"observed_cash_balance_p10_q3[-706.3,918.3]",num,341,273,231154.87120025296,-231154.87120025296,68,-137443.78276878333,-137443.78276878333,0.22287390029325513,0.17582417582417584,0.1935897418749892,0.029284158418265926,0.03721458487261204,0.4007029876977153,569,1114,784,0.6843843098311817
observed_cash_balance_p10,"observed_cash_balance_p10_q4[918.3,2686]",num,399,384,619152.3305961135,-619152.3305961135,15,-6199.845689081597,-6199.845689081597,0.10526315789473684,0.09895833333333333,0.12228333383939684,-0.01702017594466,0.06698564013267536,0.29876977152899825,569,1128,1016,0.5714952647725757
observed_cash_balance_p10,"observed_cash_balance_p10_q5[2686,1.112e+04]",num,452,452,776276.9553087886,-776276.9553087886,0,0.0,0.0,0.07079646017699115,0.07079646017699115,0.09739341721552966,-0.02659695703853851,0.08535959344149806,0.20701754385964913,570,1144,1127,0.5611607142857142
observed_cash_balance_p10,observed_cash_balance_p10_MISSING,num,855,660,929564.2700460072,-929564.2700460072,195,-459652.24879170646,-459652.24879170646,0.20701754385964913,0.1484848484848485,0.2129895780357498,-0.005972034176100677,0.005336475514074214,0.47929354445797806,1642,3239,1819,0.6989233871639751
observed_overdraft_count_3mo,observed_overdraft_count_3mo==0.0,cat,1122,953,1312365.7660001065,-1312365.7660001065,169,-573630.6645898323,-573630.6645898323,0.15597147950089127,0.10703043022035677,0.16944817360667105,-0.013476694105779785,0.033925621440161154,0.36213757816941444,1759,3555,2579,0.7094433549554986
observed_overdraft_count_3mo,observed_overdraft_count_3mo==__MISSING__,cat,855,660,929564.2700460072,-929564.2700460072,195,-459652.24879170646,-459652.24879170646,0.20701754385964913,0.1484848484848485,0.2129895780357498,-0.005972034176100677,0.005336475514074214,0.47929354445797806,1642,3239,1819,0.6989233871639751
observed_overdraft_count_3mo,observed_overdraft_count_3mo==1.0,cat,453,315,410874.1110330109,-410874.1110330109,138,-616401.6519909073,-616401.6519909073,0.2582781456953642,0.14285714285714285,0.26184526018805326,-0.0035671144926890386,-0.02822658852773619,0.4441717791411043,815,1491,723,0.7660892348392347
observed_overdraft_count_3mo,observed_overdraft_count_3mo==2.0,cat,98,39,-1662.7178319330324,1662.7178319330324,59,-331297.91740415373,-331297.91740415373,0.45918367346938777,0.23076923076923078,0.3697534333240684,0.08943024014531936,-0.07265453358674612,0.5420560747663551,214,422,148,0.809433962264151
payroll_regularity_score,"payroll_regularity_score_q1[0,0.3407]",num,259,121,142746.97995927298,-142746.97995927298,138,-725506.6871327031,-725506.6871327031,0.3590733590733591,0.1322314049586777,0.3580386993634849,0.0010346597098741528,-0.08835711792483968,0.5456140350877193,570,1140,361,0.8136416634279051
payroll_regularity_score,"payroll_regularity_score_q2[0.3407,0.453]",num,318,229,272769.6422442618,-272769.6422442618,89,-358480.4945355882,-358480.4945355882,0.25471698113207547,0.1615720524017467,0.23957556479249034,0.015141416339585129,-0.01087033918087947,0.44112478031634444,569,1017,513,0.7119602021149137
payroll_regularity_score,"payroll_regularity_score_q3[0.453,0.5748]",num,358,269,318170.59251936886,-318170.59251936886,89,-333376.6137558263,-333376.6137558263,0.21787709497206703,0.12639405204460966,0.2221730266917316,-0.004295931719664581,0.014671739922648514,0.37082601054481545,569,1233,775,0.757967032967033
payroll_regularity_score,"payroll_regularity_score_q4[0.5748,0.7111]",num,366,321,370804.84487477713,-370804.84487477713,45,-173376.9100103643,-173376.9100103643,0.13934426229508196,0.09968847352024922,0.15930388209051372,-0.01995961979543176,0.04073231121997865,0.35676625659050965,569,1195,912,0.7522253345782758
payroll_regularity_score,"payroll_regularity_score_q5[0.7111,1]",num,395,375,618158.7835030935,-618158.7835030935,20,-46203.31539545359,-46203.31539545359,0.11645569620253164,0.10666666666666667,0.12031747324957714,-0.003861777047045503,0.06890858451714495,0.30701754385964913,570,993,905,0.6013766039616295
payroll_regularity_score,payroll_regularity_score_MISSING,num,855,660,929564.2700460072,-929564.2700460072,195,-459652.24879170646,-459652.24879170646,0.20701754385964913,0.1484848484848485,0.2129895780357498,-0.005972034176100677,0.005336475514074214,0.47929354445797806,1642,3239,1819,0.6989233871639751
aggregate_credit_utilization,"aggregate_credit_utilization_q1[0.009849,0.2602]",num,725,724,1151044.0276842208,-1151044.0276842208,1,2348.626799501641,2348.626799501641,0.08137931034482758,0.08149171270718232,0.08572728025574433,-0.004347969910916752,0.08396222564092798,0.19265033407572382,898,1709,1693,0.526518043467196
aggregate_credit_utilization,"aggregate_credit_utilization_q2[0.2602,0.419]",num,595,572,851514.0291151842,-851514.0291151842,23,-47620.17488236374,-47620.17488236374,0.1361344537815126,0.12762237762237763,0.12860681884696878,0.007527634934543809,0.06775887417677096,0.3374164810690423,898,1714,1579,0.5939736753614834
aggregate_credit_utilization,"aggregate_credit_utilization_q3[0.419,0.5739]",num,520,424,449213.53772336745,-449213.53772336745,96,-192519.1049817109,-192519.1049817109,0.21346153846153845,0.17688679245283018,0.20641680860466577,0.0070447298568726835,0.03904016663458832,0.42028985507246375,897,1877,1309,0.6305535364215071
aggregate_credit_utilization,"aggregate_credit_utilization_q4[0.5739,0.7322]",num,425,218,132570.1993308444,-132570.1993308444,207,-620227.9938041281,-620227.9938041281,0.30823529411764705,0.1926605504587156,0.3232326711447474,-0.014997377027100356,-0.0156080704322042,0.5267260579064588,898,1788,608,0.6824401516331724
aggregate_credit_utilization,"aggregate_credit_utilization_q5[0.7322,0.9812]",num,286,37,67873.31929316469,-67873.31929316469,249,-1238577.6227529412,-1238577.6227529412,0.5034965034965035,0.21621621621621623,0.534992123020163,-0.031495619523659424,-0.14947886303055868,0.6815144766146993,898,1722,95,0.7122212441314554
recent_inquiries_count_6mo,recent_inquiries_count_6mo==0,cat,1541,1250,1569117.3073512502,-1569117.3073512502,291,-1145327.921966498,-1145327.921966498,0.19402985074626866,0.1272,0.19147119768135434,0.002558653064914318,0.018088708788563453,0.39066824831949387,2529,4974,3299,0.7334055008913232
recent_inquiries_count_6mo,recent_inquiries_count_6mo==1,cat,726,536,815234.0434565283,-815234.0434565283,190,-551353.1730240682,-551353.1730240682,0.21074380165289255,0.1287313432835821,0.22336488678587352,-0.012621085132980964,-0.0019062320034081938,0.4712308812818645,1373,2703,1494,0.7410373107940094
recent_inquiries_count_6mo,recent_inquiries_count_6mo==2,cat,234,156,192557.64099574828,-192557.64099574828,78,-310708.74639379873,-310708.74639379873,0.26495726495726496,0.17307692307692307,0.27714901053746943,-0.012191745580204472,-0.024658473790258005,0.4956896551724138,464,878,395,0.7237903225806451
existing_debt_obligations,"existing_debt_obligations_q1[979.5,4694]",num,600,563,753685.1324464761,-753685.1324464761,37,-129411.95712816523,-129411.95712816523,0.13666666666666666,0.11012433392539965,0.11588956911183548,0.020777097554831175,0.0611613969670233,0.33184855233853006,898,1628,1377,0.6521094264996705
existing_debt_obligations,"existing_debt_obligations_q2[4694,6323]",num,534,447,624230.2067510935,-624230.2067510935,87,-278906.1209360499,-278906.1209360499,0.17415730337078653,0.1319910514541387,0.18046463658905695,-0.006307333218270428,0.03012649649998787,0.4053452115812918,898,1823,1305,0.7026674469070783
existing_debt_obligations,"existing_debt_obligations_q3[6323,8151]",num,514,392,594033.1764691027,-594033.1764691027,122,-361149.2216532961,-361149.2216532961,0.1828793774319066,0.10714285714285714,0.2156777029285713,-0.0327983254966647,0.007173309974239461,0.4269788182831661,897,1783,1084,0.7628926038500506
existing_debt_obligations,"existing_debt_obligations_q4[8151,1.095e+04]",num,477,344,351952.717900957,-351952.717900957,133,-337503.19340663217,-337503.19340663217,0.25157232704402516,0.17732558139534885,0.2455661773742624,0.0060061496697627614,-0.008352223084924835,0.4688195991091314,898,1852,918,0.7235527544351074
existing_debt_obligations,"existing_debt_obligations_q5[1.095e+04,3.69e+04]",num,426,229,328313.8795791522,-328313.8795791522,197,-989625.7764974989,-989625.7764974989,0.3215962441314554,0.14410480349344978,0.3344986971258333,-0.012902452994377922,-0.0644701338441515,0.5256124721603563,898,1726,601,0.7592882580254086
owner_personal_credit_band,owner_personal_credit_band==4,cat,758,710,1051362.5345868277,-1051362.5345868277,48,-178593.51585200062,-178593.51585200062,0.1345646437994723,0.11267605633802817,0.13246177592612363,0.0021028678733486794,0.06562182244963863,0.22653061224489796,980,1843,1640,0.6570495576279293
owner_personal_credit_band,owner_personal_credit_band==2,cat,512,369,465375.4514883187,-465375.4514883187,143,-426558.73498504504,-426558.73498504504,0.201171875,0.1111111111111111,0.2327268910197856,-0.03155501601978561,0.004468422767967506,0.43237250554323725,902,1703,969,0.7708595437605337
owner_personal_credit_band,owner_personal_credit_band==0,cat,291,141,140193.36362456233,-140193.36362456233,150,-670512.6835984332,-670512.6835984332,0.38831615120274915,0.22695035460992907,0.3572251909259817,0.031090960276767443,-0.07830121317840094,0.6670480549199085,874,1627,439,0.7305608034205031
owner_personal_credit_band,owner_personal_credit_band==3,cat,572,470,580615.578369123,-580615.578369123,102,-289437.90831172164,-289437.90831172164,0.18181818181818182,0.13191489361702127,0.18370595486767552,-0.0018877730494936962,0.03821585220255134,0.3425287356321839,870,1846,1382,0.6887224687705457
owner_personal_credit_band,owner_personal_credit_band==1,cat,418,285,414668.1850779498,-414668.1850779498,133,-531493.4268744417,-531493.4268744417,0.24880382775119617,0.14736842105263157,0.2578879837228912,-0.009084155971695013,-0.01174498676441655,0.5156431054461182,863,1798,855,0.7337395884370406
days_since_last_external_decline,"days_since_last_external_decline_q1[0.03002,14.52]",num,201,119,230154.42582996067,-230154.42582996067,82,-278612.9685622201,-278612.9685622201,0.23880597014925373,0.09243697478991597,0.283151840273837,-0.04434587012458327,-0.044006650010492566,0.5553097345132744,452,931,352,0.7571486928104574
days_since_last_external_decline,"days_since_last_external_decline_q2[14.52,35.87]",num,211,130,194662.57793428074,-194662.57793428074,81,-318313.89617511723,-318313.89617511723,0.2796208530805687,0.11538461538461539,0.30246435061571264,-0.02284349753514392,-0.040225941449363485,0.5331858407079646,452,898,384,0.8190231935771632
